,day,date,hospitalized,icu,ventilated
37,9,2020-04-13,133.4763534082209,47.63773859088283,34.72984607977449
38,10,2020-04-14,145.61831703080864,51.9826932766544,37.07470670865534
39,11,2020-04-15,158.8079676999367,56.70480981406198,40.44685039743331
40,12,2020-04-16,173.12474281198567,61.83313423007357,44.1099110769316
41,13,2020-04-17,188.6519689039988,67.398231316737,48.08594562366277
42,14,2020-04-18,205.4766082066936,73.43211595862107,52.39809348422786
43,15,2020-04-19,223.6888873621617,79.9681453731591,57.070507833983825
44,16,2020-04-20,243.38178664696864,87.04086474814213,62.128254577958984
45,17,2020-04-21,264.6503659499066,94.68579796540942,67.59717334074912
46,18,2020-04-22,287.5909019019353,102.93917436217629,73.50369404700905
47,19,2020-04-23,312.299809123836,111.83758185798177,79.87460222005464
48,20,2020-04-24,338.8723177728721,121.41753633861764,86.73674577207547
49,21,2020-04-25,367.4008797141822,131.71495702927996,94.11667588707695
50,22,2020-04-26,397.9732770518596,142.76453781751735,102.04021468195867
51,23,2020-04-27,430.6704098184556,154.5990052316707,110.53194276085036
52,24,2020-04-28,465.5637447761627,167.24825518960978,119.614600654643
53,25,2020-04-29,502.71241499529265,180.7383628666735,129.3083995736353
54,26,2020-04-30,542.1599706179703,195.09046325840092,139.63023901425498
55,27,2020-05-01,583.930795425177,210.3195043955902,150.59283166712956
56,28,2020-05-02,628.026221852858,226.43288084798667,162.20373987726154
57,29,2020-05-03,674.420399137633,243.42896222694557,174.464332684718
58,30,2020-05-04,723.0559952584622,261.29553989495474,187.36867825796836
59,31,2020-05-05,773.8398428746752,280.00822493645427,200.90239328674156
60,32,2020-05-06,826.6386716888037,299.5288414277779,215.04147850102407
61,33,2020-05-07,881.2751031780174,319.80387077895716,229.7511776861673
62,34,2020-05-08,937.5241164040322,340.7630148182118,244.98490599270335
63,35,2020-05-09,995.110222927238,362.3179565407669,260.68330146365065
64,36,2020-05-10,1053.7056113869808,384.3614070154865,276.7734608385201
65,37,2020-05-11,1112.9295342390367,406.7665336108083,293.1684260207404
66,38,2020-05-12,1172.3492063881265,429.3868671116025,309.7669901937953
67,39,2020-05-13,1231.4824640737056,452.0567820723508,326.45389148823864
68,40,2020-05-14,1289.802389053575,474.5926346326272,343.1004564451898
69,41,2020-05-15,1346.744035808243,496.7946240540439,359.565744579417
70,42,2020-05-16,1401.7133079522928,518.4494179730495,375.69822871634847
71,43,2020-05-17,1454.0979165201366,539.3335470503182,391.3380235069439
72,44,2020-05-18,1503.2802223690346,559.2175334433473,406.31964721374095
73,45,2020-05-19,1548.6516256420432,577.8706713881215,420.4752707367564
74,46,2020-05-20,1589.6280277516603,595.0663301261382,433.63837476117453
75,47,2020-05-21,1625.6657682889731,610.587603202881,445.647703255177
76,48,2020-05-22,1656.277343950418,624.2330880170578,456.3513720918751
77,49,2020-05-23,1681.046161473355,635.8225496989838,465.61096819627824
78,50,2020-05-24,1699.6395715768604,645.2022077809033,473.3054600116011
79,51,2020-05-25,1711.819481706305,652.2493855695509,479.33473639335296
80,52,2020-05-26,1717.4499522213355,656.8762820984807,483.6225995905646
81,53,2020-05-27,1716.5013377459218,659.0326647392039,486.11905900633155
82,54,2020-05-28,1709.0507311033098,658.7073348412607,486.80180500203187
83,55,2020-05-29,1695.2786852621366,655.9282852701999,485.6767840158939
84,56,2020-05-30,1675.4624098277,650.7615421606015,482.7778446114861
85,57,2020-05-31,1649.9658430891122,643.3087575225111,478.1654749716289
