,day,date,hospitalized,icu,ventilated
36,8,2020-04-12,22.36654015238088,6.7099620457142635,4.473308030476176
37,9,2020-04-13,24.387889027790976,7.316366708337284,4.877577805558197
38,10,2020-04-14,26.58107157366726,7.974321472100172,5.31621431473345
39,11,2020-04-15,28.958607731651853,8.687582319495547,5.791721546330365
40,12,2020-04-16,31.533522671118078,9.46005680133544,6.306704534223613
41,13,2020-04-17,34.31928068473525,10.295784205420574,6.863856136947064
42,14,2020-04-18,37.32969636534932,11.198908909604782,7.46593927306985
43,15,2020-04-19,40.57881930784896,12.17364579235469,8.11576386156979
44,16,2020-04-20,44.08078831259792,13.224236493779387,8.816157662519586
45,17,2020-04-21,47.84965087660521,14.354895262981557,9.569930175321048
46,18,2020-04-22,51.89914368368056,15.569743105104152,10.379828736736101
47,19,2020-04-23,56.242429893018766,16.87272896790566,11.248485978603767
48,20,2020-04-24,60.891789333771385,18.26753680013141,12.178357866754283
49,21,2020-04-25,65.85825830665942,19.757477491997776,13.17165166133185
50,22,2020-04-26,71.15121664552635,21.345364993657938,14.23024332910532
51,23,2020-04-27,76.7779210791939,23.033376323758148,15.355584215838746
52,24,2020-04-28,82.74298583431232,24.822895750293753,16.548597166862493
53,25,2020-04-29,89.0478139028105,26.714344170843106,17.80956278056209
54,26,2020-04-30,95.68998551569643,28.706995654708976,19.13799710313927
55,27,2020-05-01,102.66261414097812,30.798784242293436,20.532522828195624
56,28,2020-05-02,109.95368473434041,32.986105420302124,21.990736946868083
57,29,2020-05-03,117.54539393030132,35.263618179090315,23.50907878606023
58,30,2020-05-04,125.41351720002308,37.62405516000695,25.08270344000465
59,31,2020-05-05,133.52683345052537,40.05805003515752,26.705366690105052
60,32,2020-05-06,141.84664271693896,42.553992815081756,28.369328543387837
61,33,2020-05-07,150.32641700491013,45.09792510147304,30.06528340098197
62,34,2020-05-08,158.9116273669929,47.67348821009773,31.782325473398544
63,35,2020-05-09,167.5397912575463,50.261937377264076,33.507958251509365
64,36,2020-05-10,176.14078239004402,52.84223471701307,35.228156478008714
65,37,2020-05-11,184.637440052079,55.39123201562393,36.927488010415914
66,38,2020-05-12,192.9465055996152,57.88395167988449,38.58930111992299
67,39,2020-05-13,200.97990040251807,60.29397012075526,40.195980080503546
68,40,2020-05-14,208.6463419847796,62.59390259543386,41.72926839695583
69,41,2020-05-15,215.8532741216609,64.75598223649831,43.170654824332246
70,42,2020-05-16,222.509063401596,66.75271902047871,44.50181268031929
71,43,2020-05-17,228.5253909578878,68.55761728736638,45.7050781915774
72,44,2020-05-18,233.81974590097707,70.14592377029317,46.763949180195596
73,45,2020-05-19,238.31790887262378,71.49537266178731,47.6635817745248
74,46,2020-05-20,241.95630251213515,72.58689075364055,48.39126050242692
75,47,2020-05-21,244.68408252209247,73.40522475662738,48.9368165044184
76,48,2020-05-22,246.46484978310582,73.93945493493197,49.292969956621164
77,49,2020-05-23,247.27788092453284,74.18336427735994,49.455576184906704
