,day,date,susceptible,infected,recovered
91,63,2020-06-06,1312961.3055586661,751382.641017504,1535656.0534238298
92,64,2020-06-07,1267386.1453012929,743287.6126307698,1589326.2420679373
93,65,2020-06-08,1223866.9385978302,733714.8470034633,1642418.2143987066
94,66,2020-06-09,1182383.3202468094,722790.2619970939,1694826.4177560967
95,67,2020-06-10,1142902.5417941061,710643.1645928618,1746454.293613032
96,68,2020-06-11,1105381.4124641642,697404.0678804563,1797214.5196553792
97,69,2020-06-12,1069768.1505633306,683202.7535041146,1847029.0959325547
98,70,2020-06-13,1036004.1116837548,668166.5957048251,1895829.29261142
99,71,2020-06-14,1004025.3709027313,652419.1510783611,1943555.4780189074
100,72,2020-06-15,973764.1456771172,636079.0083698066,1990156.845953076
101,73,2020-06-16,945150.0540902306,619258.8850731356,2035591.0608366334
102,74,2020-06-17,918111.2094821478,602064.9521759948,2079823.8383418578
103,75,2020-06-18,892575.15735519,584596.3648618101,2122828.477783
104,76,2020-06-19,868469.6639384751,566944.9750741101,2164585.360987415
105,77,2020-06-20,845723.3681033769,549195.2012610573,2205081.4306355654
106,78,2020-06-21,824266.3096462952,531424.0310566351,2244309.6592970695
107,79,2020-06-22,804030.3474947244,513701.13384701795,2282268.518658258
108,80,2020-06-23,784949.4813313489,496089.0618784634,2318961.4567901874
109,81,2020-06-24,766960.0896313066,478643.5205871869,2354396.3897815063
110,82,2020-06-25,750001.0963076571,461413.6910117517,2388585.2126805913
111,83,2020-06-26,734014.0771720174,444442.5893608377,2421543.333467145
112,84,2020-06-27,718943.3163300152,427767.45096278016,2453289.2327072048
113,85,2020-06-28,704735.8215121144,411420.12785476807,2483844.0506331176
114,86,2020-06-29,691341.3062386734,395427.4911385827,2513231.202622744
115,87,2020-06-30,678712.1456678583,379811.83091378486,2541476.023418357
116,88,2020-07-01,666803.3119982382,364591.24808956304,2568605.4399121986
117,89,2020-07-02,655572.2944071062,349780.0336742976,2594647.671918596
118,90,2020-07-03,644979.0077063129,335389.0322554983,2619631.960038189
119,91,2020-07-04,634985.6931900971,321425.9873248928,2643588.31948501
120,92,2020-07-05,625556.8145309064,307895.86688944825,2666547.3185796454
121,93,2020-07-06,616658.951044093,294801.1684555867,2688539.8805003203
122,94,2020-07-07,608260.6901838545,282142.202997569,2709597.1068185763
123,95,2020-07-08,600332.5207433945,269917.3579382026,2729750.1213184027
124,96,2020-07-09,592846.7279043886,258123.33949590832,2749029.932599703
125,97,2020-07-10,585777.2910070061,246755.3950007259,2767467.313992268
126,98,2020-07-11,579099.7846849227,235807.5159656146,2785092.6993494625
127,99,2020-07-12,572791.2838234673,225272.62282952608,2801936.0933470065
128,100,2020-07-13,566830.2726473927,215142.73237492025,2818026.994977687
